,Original.ID,Sample.ID,Density,ASVOTU,Norm,Depth,Location,Season,Pielou,Shannon,Chao1,Euclidean,Aitchinson
95,40,sample-477,High,ASV,Rarefaction,ten,Facility 3,Summer,0.322452145,1.330803337,63.25,4471.308894,17.4815995
96,50,sample-482,High,ASV,Rarefaction,ten,Facility 3,Summer,0.284142377,0.96642431,30,5360.648836,13.10371707
97,8,sample-485,High,ASV,Rarefaction,ten,Facility 3,Summer,0.670880031,2.948148186,83.14285714,3086.565621,24.98177395
98,30,sample-58,High,ASV,Rarefaction,ten,Facility 2,Spring,0.582012912,2.052387358,34.33333333,5063.613591,23.02051768
99,30,sample-59,High,ASV,Rarefaction,ten,Facility 2,Winter,0.643559979,2.230408927,32.33333333,3602.380249,19.64273338
100,E3,sample-86,High,ASV,Rarefaction,ten,Facility 2,Spring,0.553916069,2.000145457,37.25,4400.653134,20.68124821
101,13,sample-11,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.220741375,0.355269538,5,28028.81236,18.36958544
102,E2,sample-111,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.639831517,2.795710447,80.5,8878.166137,33.80431383
103,E3,sample-116,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.554153693,2.030176215,39,13646.11629,28.65518168
104,E4,sample-122,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.603643514,2.869473889,118.5,7391.714386,35.91560361
105,E5,sample-126,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.625967897,2.622589368,67.5,11193.33091,32.6688497
106,15,sample-13,High,ASV,Rarefaction,thirty,Facility 2,Fall,0.701538311,2.980482176,71.5,9046.572194,35.1327105
107,E6,sample-131,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.005800985,0.009336325,5,29739.05909,13.33604264
108,E6,sample-132,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.530156401,2.419818412,97,6433.573477,29.908986
109,E7,sample-137,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.576243008,2.298624167,56,12043.00313,29.47986397
110,15,sample-14,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.492174101,1.763715212,36,16597.68378,25.27295285
111,E9,sample-143,High,ASV,Rarefaction,thirty,Facility 2,Winter,0.362488556,1.194703148,28,14520.95621,17.31130596
112,E9,sample-144,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.450916213,1.548440505,31,18266.54048,27.22905291
113,E9,sample-145,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.489845678,2.088055316,71,15828.80962,31.75946937
114,1,sample-150,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.416149026,1.153810095,16,19645.48665,22.68071231
115,10,sample-153,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.377088415,1.409431912,42,20209.98039,27.02252821
116,10,sample-154,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.641666315,2.182433792,30,12221.85688,26.43798069
117,12,sample-159,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.58879127,2.601774775,83.75,10755.94929,34.46906397
118,16,sample-16,High,ASV,Rarefaction,thirty,Facility 2,Fall,0.525795736,1.838448766,33,14926.38919,28.15957508
119,12,sample-160,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.398493492,1.498813769,43,14152.46959,22.46037425
120,12,sample-161,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.313825394,1.172975641,42.5,19719.71854,21.25717393
121,13,sample-162,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.466311305,1.731680638,41,14691.83004,25.86928623
122,13,sample-164,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.577389339,2.324195151,57.5,9355.706606,28.83936459
123,14,sample-166,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.634689275,2.401784575,45,13043.04793,29.4554991
124,14,sample-167,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.537255661,2.079824658,48,17462.58991,29.48113836
125,2,sample-174,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.307696698,0.76459757,12,25227.53064,19.95907194
126,22,sample-180,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.321155225,0.992704434,23,15894.79436,18.24964679
127,24,sample-186,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.100108211,0.194801583,7,22426.48594,13.62776881
128,3,sample-197,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.534629127,1.762050385,27,17619.56576,25.50474838
129,17,sample-20,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.519787429,1.848025229,35,9578.773702,22.5843162
130,34,sample-207,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.274167567,0.491242335,6,20198.91175,13.69757132
131,17,sample-21,High,ASV,Rarefaction,thirty,Facility 2,Winter,0.484928478,1.823913049,43,11081.74818,21.60387871
132,4,sample-221,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.42993912,1.801296471,66.5,17105.41209,26.41868551
133,40,sample-223,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.420653808,1.370530715,26.33333333,14032.12715,21.6750289
134,18,sample-23,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.30632435,1.089089683,35,15466.49868,22.88402672
135,46,sample-241,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.51148109,2.01105446,51.5,16547.71577,32.2368948
136,47,sample-243,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.402576028,1.295842245,25,15871.08709,23.98963842
137,5,sample-249,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.357116063,1.437517749,59,21640.88707,30.35274694
138,50,sample-251,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.552339736,1.731858048,23,13702.87933,23.20339253
139,19,sample-26,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.304081683,0.978801178,25,24129.43066,21.82420409
140,7,sample-263,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.595458107,2.438010661,62,11327.32991,29.03724762
141,8,sample-266,High,ASV,Rarefaction,thirty,Facility 3,Fall,0.140523753,0.473185047,29,27331.07352,20.86864384
142,8,sample-267,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.361306596,1.252193241,32,20524.94355,22.60390274
143,8,sample-268,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.540314169,2.145204976,56.33333333,15161.47126,27.82216327
144,9,sample-270,High,ASV,Rarefaction,thirty,Facility 3,Winter,0.262820637,0.800163327,21,18146.63506,19.52619938
145,E13,sample-274,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.570113096,1.416677822,12,19607.92964,25.04609396
146,E9,sample-283,High,ASV,Rarefaction,thirty,Facility 3,Spring,0.421696271,1.6145238,46,20304.95107,30.6413346
147,9,sample-284,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.540701792,2.104314209,52,12788.83616,27.54289995
148,10,sample-286,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.46147217,1.30744911,17,19712.2094,19.85083732
149,10,sample-287,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.57598592,2.421843747,68,11941.93689,30.30924834
150,11,sample-290,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.603452546,2.418235413,58,12366.69194,30.79416674
151,13,sample-295,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.356923401,1.225670392,31.5,20923.11846,20.80433979
152,14,sample-299,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.341114375,1.124257331,27,15339.43672,19.76822287
153,20,sample-312,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.594173556,0.82369945,4,15397.8267,13.66623992
154,28,sample-332,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.619492631,1.361164435,9,15959.01309,16.85163866
155,21,sample-34,High,ASV,Rarefaction,thirty,Facility 2,Fall,0.296863969,0.761441046,13,19959.38519,16.21716395
156,31,sample-340,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.167907191,0.454701102,16,24933.32567,13.90724355
157,35,sample-346,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.164059576,0.227434866,4,26782.10866,12.13784736
158,21,sample-35,High,ASV,Rarefaction,thirty,Facility 2,Winter,0.34172875,1.150701795,29,13962.83916,17.87788066
159,36,sample-350,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.394225626,1.040384027,14,19646.33046,17.83918316
160,39,sample-355,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.56300802,2.614829322,104.4285714,11593.00796,36.14266881
161,39,sample-357,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.410147674,1.512985329,40,13428.31077,20.94524897
162,4,sample-359,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.500034833,1.567856325,23,15813.37679,22.38502616
163,4,sample-360,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.487482971,1.979396824,58.6,17761.67968,29.6497105
164,40,sample-362,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.499603844,1.627757554,26,18380.67532,21.24010332
165,41,sample-364,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.686499705,2.896690793,68,8813.141482,33.43494889
166,41,sample-366,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.440845053,2.055854053,106.5,13966.89727,29.75631805
167,42,sample-369,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.562129647,1.655156444,19,10755.64483,19.7174419
168,22,sample-37,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.460157775,1.30372515,17,16042.34333,19.02016948
169,43,sample-370,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.555538531,2.595936467,114.5,10545.97379,33.42405358
170,43,sample-372,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.305857902,1.19652315,51,13748.8576,20.30482317
171,45,sample-377,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.027250252,0.053026542,7,29176.94284,14.49250714
172,46,sample-378,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.267407131,0.757621452,17,24576.19019,22.30165161
173,46,sample-379,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.606831512,2.253512553,41,11089.61556,27.99715526
174,22,sample-38,High,ASV,Rarefaction,thirty,Facility 2,Winter,0.417330268,1.606783129,62,11746.1365,25.13763366
175,46,sample-380,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.609921266,2.409947572,52,12147.82927,30.07671965
176,5,sample-390,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.41247609,1.702344255,63.5,15182.38739,27.15603763
177,5,sample-392,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.231964189,0.764516127,27,21148.96702,19.49126446
178,6,sample-401,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.354663846,1.433924114,57,19106.16094,26.32961088
179,8,sample-404,High,ASV,Rarefaction,thirty,Facility 1,Fall,0.722516413,3.048663572,68,7887.610953,36.04093939
180,8,sample-405,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.564682131,1.991272777,34,13852.03132,25.87069304
181,8,sample-406,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.622506899,2.55904734,64,12420.01312,32.92390097
182,9,sample-408,High,ASV,Rarefaction,thirty,Facility 1,Winter,0.630514086,2.538040943,56.25,11546.44559,31.44960204
183,25,sample-41,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.289776553,0.784729451,15,16910.06287,16.22212337
184,E3,sample-413,High,ASV,Rarefaction,thirty,Facility 1,Spring,0.438361132,1.444766778,27.33333333,16717.07199,22.27167157
185,13B,sample-428,High,ASV,Rarefaction,thirty,Facility 2,Summer,0.559474862,2.261985548,57,13292.51168,25.63693468
186,15A,sample-431,High,ASV,Rarefaction,thirty,Facility 2,Summer,0.426803979,1.788161313,66,16248.43584,24.92821669
187,18A,sample-432,High,ASV,Rarefaction,thirty,Facility 2,Summer,0.510761735,1.90905862,43,16463.30876,29.78423536
188,21A,sample-435,High,ASV,Rarefaction,thirty,Facility 2,Summer,0.409465585,1.648242984,57,10715.10412,19.79869061
189,30A,sample-444,High,ASV,Rarefaction,thirty,Facility 2,Summer,0.450567331,1.734750729,47,13952.30568,22.22335771
190,10,sample-458,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.445775998,1.743885959,51,17294.24753,23.069828
191,12,sample-459,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.352248331,1.53009821,77,13319.02754,18.59227669
192,14,sample-461,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.699381089,2.981237694,71.5,11443.347,35.84288467
193,26,sample-469,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.532348496,2.395466911,90.25,10834.02584,32.87219271
194,28,sample-470,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.557528696,2.3996398,74,12146.26416,24.35401809
195,40,sample-477,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.318329408,1.328830229,65.5,13415.47469,23.58546175
196,50,sample-482,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.279337466,0.968109885,33,16046.16603,17.15097543
197,8,sample-485,High,ASV,Rarefaction,thirty,Facility 3,Summer,0.669395841,2.94162599,81,9151.671365,31.40723452
198,30,sample-58,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.572936724,2.053129602,36,15169.05949,28.53276974
199,30,sample-59,High,ASV,Rarefaction,thirty,Facility 2,Winter,0.633426764,2.21478147,33,10933.91067,23.95172539
200,E3,sample-86,High,ASV,Rarefaction,thirty,Facility 2,Spring,0.538095868,1.984970793,40,13364.15129,25.66826448
201,13,sample-11,High,ASV,Rarefaction,fifty,Facility 2,Spring,0.21882424,0.352184029,5,46751.53132,19.73808935
202,E2,sample-111,High,ASV,Rarefaction,fifty,Facility 1,Fall,0.63437739,2.795523053,84,14761.88768,37.08427834
203,E3,sample-116,High,ASV,Rarefaction,fifty,Facility 1,Fall,0.545812354,2.026913511,42,22710.93771,31.17292422
204,E4,sample-122,High,ASV,Rarefaction,fifty,Facility 1,Winter,0.599202166,2.858604561,118.75,12402.48238,39.98412961
205,E5,sample-126,High,ASV,Rarefaction,fifty,Facility 1,Fall,0.623253004,2.611214905,66,18745.8113,35.74575423
206,15,sample-13,High,ASV,Rarefaction,fifty,Facility 2,Fall,0.70465397,2.973292856,68,15129.79562,38.33833958
207,E6,sample-131,High,ASV,Rarefaction,fifty,Facility 1,Fall,0.005691087,0.007889522,4,49576.88141,14.37934349
208,E6,sample-132,High,ASV,Rarefaction,fifty,Facility 1,Winter,0.530359296,2.426240495,97,10668.28938,33.69895295
209,E7,sample-137,High,ASV,Rarefaction,fifty,Facility 1,Winter,0.573042131,2.30669611,56.16666667,20017.99,32.43496773
210,15,sample-14,High,ASV,Rarefaction,fifty,Facility 2,Spring,0.499566881,1.77613414,35,27449.22862,27.80511306
211,E9,sample-143,High,ASV,Rarefaction,fifty,Facility 2,Winter,0.352393919,1.186614573,30.5,24326.81951,19.17245325
212,E9,sample-144,High,ASV,Rarefaction,fifty,Facility 3,Fall,0.444007568,1.538812968,32,30579.38611,29.6324118
213,E9,sample-145,High,ASV,Rarefaction,fifty,Facility 3,Winter,0.484910725,2.080489798,79,26429.42269,35.10899106
214,1,sample-150,High,ASV,Rarefaction,fifty,Facility 3,Fall,0.417539252,1.15766462,16,32688.5731,24.64906878
215,10,sample-153,High,ASV,Rarefaction,fifty,Facility 3,Fall,0.380443931,1.421973724,42,33517.3943,29.61705636
216,10,sample-154,High,ASV,Rarefaction,fifty,Facility 3,Spring,0.638919757,2.173092204,30,20373.18016,28.54697216
217,12,sample-159,High,ASV,Rarefaction,fifty,Facility 3,Fall,0.58353012,2.59924581,86,17920.73754,37.99241409
218,16,sample-16,High,ASV,Rarefaction,fifty,Facility 2,Fall,0.522832514,1.828087838,33,24972.92634,30.76429592
219,12,sample-160,High,ASV,Rarefaction,fifty,Facility 3,Spring,0.398713801,1.499642395,43,23633.36908,24.9195021
220,12,sample-161,High,ASV,Rarefaction,fifty,Facility 3,Winter,0.309279196,1.170371128,45,32952.94362,23.74752357
221,13,sample-162,High,ASV,Rarefaction,fifty,Facility 3,Fall,0.464514098,1.73620023,42,24402.00494,28.39790953
