"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"134",451,"sample-462","15","NL.15.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Floor Object","No","Yes","Perforated","Dry","three",1500,10600,1150,3.17609125905568,3.06069784035361,4.02530586526477,TRUE,"Medium"
"96",297,"sample-303","16","WS.16.4","Facility 1",2023,"Spring","During","Warehouse","Floor Object","No","Yes","Perforated","Dry","three",3920,4000,0,3.59328606702046,0,3.60205999132796,TRUE,"Medium"
"58",171,"sample-177","21","NL.21.2","Facility 3",2022,"Fall","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",2050,100,300,3.31175386105575,2.47712125471966,2,TRUE,"Medium"
"47",132,"sample-134","E7","B.E7.3","Facility 2",2023,"Winter","During","Warehouse","Non-FPE Structure","No","Yes","Continuous","Dry","three",1800,1200,0,3.25527250510331,0,3.07918124604762,TRUE,"Medium"
"69",197,"sample-203","32","NL.32.3","Facility 3",2023,"Winter","During","Filling","FPE Structure","No","Yes","Continuous","Wet","two",21100,356000,4800,4.32428245529769,3.68124123737559,5.55144999797287,TRUE,"Medium"
"140",462,"sample-473","35","NL.35.1","Facility 3",2022,"Summer","During","Warehouse","Door","No","None","Continuous","Dry","three",5000,1.57e+08,735000,3.69897000433602,5.8662873390842,8.19589965240923,TRUE,"Medium"
"144",470,"sample-481","5","NL.05.1","Facility 3",2022,"Summer","During","Warehouse","Cleaning Tools","No","Yes","Continuous","Dry","three",2800,15200,450,3.44715803134222,2.65321251377534,4.18184358794477,TRUE,"Medium"
"40",108,"sample-110","E2","NL.E2.3","Facility 3",2023,"Winter","During","Office/Hallway","Non-FPE Structure","No","None","Continuous","Dry","four",4440,400,1200,3.64738297011462,3.07918124604762,2.60205999132796,TRUE,"Medium"
"139",461,"sample-472","33","NL.33.1","Facility 3",2022,"Summer","During","Filling","Door","No","Yes","Continuous","Damp","three",80000,300,920000,4.90308998699194,5.96378782734556,2.47712125471966,TRUE,"Medium"
"28",79,"sample-79","8","B.08.2","Facility 2",2022,"Fall","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",11500,0,0,4.06069784035361,0,0,TRUE,"Medium"
"42",115,"sample-117","E4","B.E4.2","Facility 2",2022,"Fall","During","Warehouse","Conveyor","No","Yes","Continuous","Dry","three",1520,550,1400,3.18184358794477,3.14612803567824,2.74036268949424,TRUE,"Medium"
"56",165,"sample-171","17","NL.17.4","Facility 3",2023,"Spring","During","Post-Pasteurization ","Hose","No","Yes","Continuous","Dry","two",7600,800,4400,3.88081359228079,3.64345267648619,2.90308998699194,TRUE,"Medium"
"70",198,"sample-204","33","NL.33.2","Facility 3",2022,"Fall","During","Filling","Door","No","Yes","Continuous","Damp","three",3870,1200,0,3.58771096501891,0,3.07918124604762,TRUE,"Medium"
"76",218,"sample-224","40","NL.40.3","Facility 3",2023,"Winter","During","Filling","Drain","No","Yes","Continuous","Wet","three",14200,43200,14400,4.15228834438306,4.15836249209525,4.63548374681491,TRUE,"Medium"
"113",343,"sample-349","36","WS.36.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","Wall/Ceiling","No","Yes","Continuous","Dry","three",27000,50000,4.1e+07,4.43136376415899,7.61278385671974,4.69897000433602,TRUE,"Medium"
"36",95,"sample-97","E10","NL.E10.3","Facility 3",2023,"Winter","During","Warehouse","Drain","No","No","Grid","Dry","three",8520,26400,7200,3.9304395947667,3.85733249643127,4.42160392686983,TRUE,"Medium"
"115",350,"sample-356","39","WS.39.4","Facility 1",2023,"Spring","During","Filling","Forklift/Pallet Jack","No","Yes","Continuous","Dry","two",3400,0,400,3.53147891704225,2.60205999132796,0,TRUE,"Medium"
"2",2,"sample-2","1","B.01.4","Facility 2",2023,"Spring","During","Raw","Drain","No","None","Perforated","Dry","three",16200,73200,92000,4.20951501454263,4.96378782734556,4.86451108105839,TRUE,"Medium"
"85",252,"sample-258","52","NL.52.4","Facility 3",2023,"Spring","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",3920,2800,0,3.59328606702046,0,3.44715803134222,TRUE,"Medium"
"129",410,"sample-416","E6","WS.E6.4","Facility 1",2023,"Spring","During","Office/Hallway","Floor Object","No","Yes","Continuous","Dry","four",34700,1200,14400,4.54032947479087,4.15836249209525,3.07918124604762,TRUE,"Medium"
"25",67,"sample-67","33","B.33.4","Facility 2",2023,"Spring","During","Warehouse","Door","No","Yes","Continuous","Dry","three",1240,800,0,3.09342168516224,0,2.90308998699194,TRUE,"Medium"
"73",213,"sample-219","4","NL.04.2","Facility 3",2022,"Fall","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",10500,50,1600,4.02118929906994,3.20411998265592,1.69897000433602,TRUE,"Medium"
"81",238,"sample-244","47","NL.47.3","Facility 3",2023,"Winter","During","Filling","FPE Structure","No","Yes","Continuous","Dry","two",2720,0,400,3.4345689040342,2.60205999132796,0,TRUE,"Medium"
"21",62,"sample-62","31","B.31.3","Facility 2",2023,"Winter","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",1840,3200,800,3.26481782300954,2.90308998699194,3.50514997831991,TRUE,"Medium"
"111",333,"sample-339","30","WS.30.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Cart/Rolling Bins","No","Yes","Continuous","Dry","three",45100,44000,0,4.65417654187796,0,4.64345267648619,TRUE,"Medium"
"10",27,"sample-27","19","B.19.3","Facility 2",2023,"Winter","During","Filling","Cart/Rolling Bins","No","Yes","Continuous","Dry","three",42200,0,0,4.62531245096167,0,0,TRUE,"Medium"
"99",308,"sample-314","21","WS.21.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","Door","No","Yes","Continuous","Dry","three",1800,0,3350,3.25527250510331,3.52504480703685,0,TRUE,"Medium"
"108",327,"sample-333","28","WS.28.4","Facility 1",2023,"Spring","During","Post-Pasteurization ","FPE Structure","No","Yes","Continuous","Dry","two",36700,62800,0,4.56466606425209,0,4.7979596437372,TRUE,"Medium"
"127",393,"sample-399","6","WS.06.2","Facility 1",2022,"Fall","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",7500,800,0,3.8750612633917,0,2.90308998699194,TRUE,"Medium"
"12",36,"sample-36","22","B.22.2","Facility 2",2022,"Fall","During","Filling","Non-FPE Structure","No","None","Continuous","Wet","three",96000,145000,240000,4.98227123303957,5.38021124171161,5.16136800223498,TRUE,"Medium"
"26",68,"sample-68","33","B.33.3","Facility 2",2023,"Winter","During","Warehouse","Door","No","Yes","Continuous","Dry","three",1280,1200,2400,3.10720996964787,3.38021124171161,3.07918124604762,TRUE,"Medium"
"43",116,"sample-118","E4","B.E4.3","Facility 2",2023,"Winter","During","Warehouse","Conveyor","No","Yes","Continuous","Dry","three",2800,3600,14000,3.44715803134222,4.14612803567824,3.55630250076729,TRUE,"Medium"
"92",285,"sample-291","12","WS.12.2","Facility 1",2022,"Fall","During","Raw","Fan/Vent","No","Yes","Grille","Dry","two",21500,0,0,4.3324384599156,0,0,TRUE,"Medium"
"118",362,"sample-368","42","WS.42.4","Facility 1",2023,"Spring","During","Filling","Drain","No","Yes","Perforated","Wet","three",16100,38000,54400,4.20682587603185,4.73559889969818,4.57978359661681,TRUE,"Medium"
"55",164,"sample-170","17","NL.17.2","Facility 3",2022,"Fall","During","Post-Pasteurization ","Hose","No","Yes","Continuous","Dry","two",2940,450,2300,3.46834733041216,3.36172783601759,2.65321251377534,TRUE,"Medium"
"37",97,"sample-99","E11","NL.E11.3","Facility 3",2023,"Winter","During","Filling","FPE Structure","No","Yes","Continuous","Dry","two",18200,0,0,4.26007138798508,0,0,TRUE,"Medium"
"107",325,"sample-331","27","WS.27.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Hose","Yes","Yes","Continuous","Dry","two",18200,11200,24400,4.26007138798508,4.38738982633873,4.04921802267018,TRUE,"Medium"
"74",214,"sample-220","4","NL.04.4","Facility 3",2023,"Spring","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",6560,2400,2400,3.81690383937566,3.38021124171161,3.38021124171161,TRUE,"Medium"
"67",187,"sample-193","28","NL.28.3","Facility 3",2023,"Winter","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",6080,0,1200,3.78390357927274,3.07918124604762,0,TRUE,"Medium"
"32",85,"sample-85","E2","B.E2.4","Facility 2",2023,"Spring","During","Filling","Forklift/Pallet Jack","No","Yes","Continuous","Dry","two",72000,8000,0,4.85733249643127,0,3.90308998699194,TRUE,"Medium"
"17",52,"sample-52","29","B.29.4","Facility 2",2023,"Spring","During","Warehouse","Cleaning Tools","No","Yes","Spiked","Dry","three",3720,2400,2000,3.5705429398819,3.30102999566398,3.38021124171161,TRUE,"Medium"
"128",409,"sample-415","E5","WS.E5.4","Facility 1",2023,"Spring","During","Warehouse","Conveyor","No","Yes","Continuous","Dry","three",80000,69200,19200,4.90308998699194,4.28330122870355,4.84010609445676,TRUE,"Medium"
"100",310,"sample-316","21","WS.21.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Door","No","Yes","Continuous","Damp","three",1840,0,0,3.26481782300954,0,0,TRUE,"Medium"
"9",24,"sample-24","18","B.18.3","Facility 2",2023,"Winter","During","Filling","Wall/Ceiling","No","Yes","Continuous","Damp","three",3160,0,0,3.4996870826184,0,0,TRUE,"Medium"
"106",324,"sample-330","27","WS.27.4","Facility 1",2023,"Spring","During","Post-Pasteurization ","Hose","Yes","Yes","Continuous","Dry","two",6640,1600,1600,3.82216807936802,3.20411998265592,3.20411998265592,TRUE,"Medium"
"63",179,"sample-185","24","NL.24.4","Facility 3",2023,"Spring","During","Filling","Conveyor","No","None","Continuous","Damp","two",3480,114000,0,3.54157924394658,0,5.05690485133647,TRUE,"Medium"
"57",166,"sample-172","17","NL.17.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Hose","No","Yes","Continuous","Dry","two",6800,1600,6400,3.83250891270624,3.80617997398389,3.20411998265592,TRUE,"Medium"
"33",88,"sample-88","E5","B.E5.4","Facility 2",2023,"Spring","During","Warehouse","Door","No","Yes","Continuous","Dry","three",8480,6000,2000,3.92839585225671,3.30102999566398,3.77815125038364,TRUE,"Medium"
"18",56,"sample-56","3","B.03.3","Facility 2",2023,"Winter","During","Raw","Hose","Yes","Yes","Continuous","Wet","two",4440,0,0,3.64738297011462,0,0,TRUE,"Medium"
"62",178,"sample-184","23","NL.23.3","Facility 3",2023,"Winter","During","Filling","Drain","No","None","Perforated","Wet","three",5120,2400,7600,3.70926996097583,3.88081359228079,3.38021124171161,TRUE,"Medium"
"54",163,"sample-169","15","NL.15.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Floor Object","No","None","Perforated","Wet","three",11500,0,2400,4.06069784035361,3.38021124171161,0,TRUE,"Medium"
"132",432,"sample-442","28A","B.28A.1","Facility 2",2022,"Summer","Before","Warehouse","Floor Object","No","Yes","Continuous","Dry","three",1250,450,800,3.09691001300806,2.90308998699194,2.65321251377534,TRUE,"Medium"
"149",491,"sample-502","41","WS.41.1","Facility 1",2022,"Summer","During","Filling","Cart/Rolling Bins","No","Yes","Continuous","Dry","three",35500,115000,35300,4.55022835305509,4.54777470538782,5.06069784035361,TRUE,"Medium"
"135",453,"sample-464","2","NL.02.1","Facility 3",2022,"Summer","During","Raw","Non-FPE Structure","No","Yes","Continuous","Dry","two",1120,0,50,3.04921802267018,1.69897000433602,0,TRUE,"Medium"
"52",146,"sample-152","1","NL.01.3","Facility 3",2023,"Winter","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",5000,253000,28000,3.69897000433602,4.44715803134222,5.40312052117582,TRUE,"Medium"
"78",226,"sample-232","43","NL.43.4","Facility 3",2023,"Spring","During","Filling","Drain","No","Yes","Continuous","Wet","three",16700,6800,13200,4.22271647114758,4.12057393120585,3.83250891270624,TRUE,"Medium"
"137",456,"sample-467","24","NL.24.1","Facility 3",2022,"Summer","During","Filling","Conveyor","No","None","Continuous","Dry","two",2260,1450,400,3.3541084391474,2.60205999132796,3.16136800223497,TRUE,"Medium"
"98",305,"sample-311","20","WS.20.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","Drain","No","Yes","Perforated","Wet","three",6500,1450,14600,3.81291335664286,4.16435285578444,3.16136800223497,TRUE,"Medium"
"13",39,"sample-39","23","B.23.4","Facility 2",2023,"Spring","During","Filling","FPE Structure","No","None","Continuous","Dry","two",3760,4800,34800,3.57518784492766,4.54157924394658,3.68124123737559,TRUE,"Medium"
"48",134,"sample-136","E7","WS.E7.2","Facility 1",2022,"Fall","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",11000,11200,4200,4.04139268515823,3.6232492903979,4.04921802267018,TRUE,"Medium"
"116",355,"sample-361","40","WS.40.2","Facility 1",2022,"Fall","During","Filling","Cart/Rolling Bins","No","Yes","Continuous","Condensate","three",89500,250,6500,4.95182303531591,3.81291335664286,2.39794000867204,TRUE,"Medium"
"30",81,"sample-81","8","B.08.3","Facility 2",2023,"Winter","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",22900,0,5600,4.35983548233989,3.7481880270062,0,TRUE,"Medium"
"123",382,"sample-388","49","WS.49.4","Facility 1",2023,"Spring","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",2840,3200,800,3.45331834004704,2.90308998699194,3.50514997831991,TRUE,"Medium"
"86",253,"sample-259","52","NL.52.3","Facility 3",2023,"Winter","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",13200,3200,0,4.12057393120585,0,3.50514997831991,TRUE,"Medium"
"145",472,"sample-483","52","NL.52.1","Facility 3",2022,"Summer","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",1100,50,550,3.04139268515822,2.74036268949424,1.69897000433602,TRUE,"Medium"
"110",331,"sample-337","29","WS.29.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Floor Object","No","Yes","Continuous","Wet","three",2680,6000,0,3.42813479402879,0,3.77815125038364,TRUE,"Medium"
"117",361,"sample-367","42","WS.42.2","Facility 1",2022,"Fall","During","Filling","Drain","No","Yes","Perforated","Wet","three",1250,950,3550,3.09691001300806,3.55022835305509,2.97772360528885,TRUE,"Medium"
"101",312,"sample-318","23","WS.23.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","Hose","No","Yes","Continuous","Dry","two",8500,0,1150,3.92941892571429,3.06069784035361,0,TRUE,"Medium"
"119",368,"sample-374","44","WS.44.4","Facility 1",2023,"Spring","During","Filling","Floor Object","No","Yes","Grid","Damp","three",14000,6800,14800,4.14612803567824,4.17026171539496,3.83250891270624,TRUE,"Medium"
"150",494,"sample-505","44","WS.44.1","Facility 1",2022,"Summer","During","Filling","Floor Object","No","None","Grid","Wet","three",1500,19000,9800,3.17609125905568,3.99122607569249,4.27875360095283,TRUE,"Medium"
"31",83,"sample-83","E1","B.E1.4","Facility 2",2023,"Spring","During","Filling","Non-FPE Structure","No","Yes","Continuous","Wet","three",4240,26000,800,3.62736585659273,2.90308998699194,4.41497334797082,TRUE,"Medium"
"143",468,"sample-479","43","NL.43.1","Facility 3",2022,"Summer","During","Filling","Drain","No","Yes","Continuous","Dry","three",21500,3480000,15400,4.3324384599156,4.18752072083646,6.54157924394658,TRUE,"Medium"
"133",449,"sample-460","13","NL.13.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Drain","No","Yes","Perforated","Wet","three",16000,2.5e+07,18000,4.20411998265593,4.25527250510331,7.39794000867204,TRUE,"Medium"
"114",345,"sample-351","36","WS.36.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Wall/Ceiling","No","Yes","Continuous","Dry","three",13400,27200,0,4.12710479836481,0,4.4345689040342,TRUE,"Medium"
"122",380,"sample-386","48","WS.48.3","Facility 1",2023,"Winter","During","Warehouse","Door","No","Yes","Continuous","Dry","three",2040,1200,0,3.3096301674259,0,3.07918124604762,TRUE,"Medium"
"20",61,"sample-61","31","B.31.4","Facility 2",2023,"Spring","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",9480,4400,16000,3.97680833733807,4.20411998265593,3.64345267648619,TRUE,"Medium"
"51",138,"sample-140","E8","NL.E8.2","Facility 3",2022,"Fall","During","Warehouse","Wall/Ceiling","No","Yes","Continuous","Dry","three",1590,220000,220000,3.20139712432045,5.34242268082221,5.34242268082221,TRUE,"Medium"
