sample.id	Original.ID	Location.Sample.date	Facility	Year	Season	Room	Object	Risk	sample	Density	Fill_bins	Fill	APC_log
sample-292	12	WS.12.4	Facility 1	2023	Spring	Raw	Fan/Vent	three	sample-292	Medium	Medium	Fill	3.781036939
sample-293	12	WS.12.3	Facility 1	2023	Winter	Raw	Fan/Vent	two	sample-293	Low	Low	Fill	2.944482672
sample-459	12	NL.12.1	Facility 3	2022	Summer	Post-Pasteurization 	Drain	three	sample-459	High	High	Fill	6.73239376
sample-487	12	WS.12.1	Facility 1	2022	Summer	Raw	Fan/Vent	two	sample-487	Medium	Medium	Fill	3.56937391
sample-426	12B	B.12B.1	Facility 2	2022	Summer	Raw	Door	three	sample-426	Low	Low	Fill	1.301029996
sample-10	13	B.13.2	Facility 2	2022	Fall	Post-Pasteurization 	Floor Object	three	sample-10	High	High	Fill	5.913283902
sample-11	13	B.13.4	Facility 2	2023	Spring	Post-Pasteurization 	Floor Object	three	sample-11	High	High	Fill	6.666517981
sample-12	13	B.13.3	Facility 2	2023	Winter	Post-Pasteurization 	Floor Object	three	sample-12	Medium	Medium	Fill	4.017033339
sample-162	13	NL.13.2	Facility 3	2022	Fall	Post-Pasteurization 	Drain	three	sample-162	High	High	Fill	5.075546961
sample-163	13	NL.13.4	Facility 3	2023	Spring	Post-Pasteurization 	Drain	three	sample-163	High	High	Fill	7.471291711
sample-164	13	NL.13.3	Facility 3	2023	Winter	Post-Pasteurization 	Drain	three	sample-164	High	High	Fill	6.220108088
sample-294	13	WS.13.2	Facility 1	2022	Fall	Raw	FPE Structure	two	sample-294	Medium	Medium	Fill	4.707570176
sample-295	13	WS.13.4	Facility 1	2023	Spring	Raw	FPE Structure	two	sample-295	High	High	Fill	5.235528447
sample-296	13	WS.13.3	Facility 1	2023	Winter	Raw	FPE Structure	two	sample-296	Low	Low	Fill	2.924279286
sample-460	13	NL.13.1	Facility 3	2022	Summer	Post-Pasteurization 	Drain	three	sample-460	Medium	Medium	Fill	4.204119983
sample-488	13	WS.13.1	Facility 1	2022	Summer	Raw	FPE Structure	two	sample-488	High	High	Fill	7.785329835
sample-427	13A	B.13A.1	Facility 2	2022	Summer	Post-Pasteurization 	Floor Object	three	sample-427	Medium	Medium	Fill	3.665580991
sample-428	13B	B.13B.1	Facility 2	2022	Summer	Post-Pasteurization 	Floor Object	three	sample-428	High	High	Fill	6.255272505
sample-165	14	NL.14.2	Facility 3	2022	Fall	Post-Pasteurization 	Floor Object	three	sample-165	High	High	Fill	6.929418926
sample-166	14	NL.14.4	Facility 3	2023	Spring	Post-Pasteurization 	Floor Object	three	sample-166	High	High	Fill	8.696356389
sample-167	14	NL.14.3	Facility 3	2023	Winter	Post-Pasteurization 	Floor Object	three	sample-167	High	High	Fill	6
sample-297	14	WS.14.2	Facility 1	2022	Fall	Warehouse	Floor Object	three	sample-297	Medium	Medium	Fill	3.526339277
sample-298	14	WS.14.4	Facility 1	2023	Spring	Warehouse	Floor Object	three	sample-298	Low	Low	Fill	1.903089987
sample-299	14	WS.14.3	Facility 1	2023	Winter	Warehouse	Floor Object	three	sample-299	High	High	Fill	5.488550717
sample-461	14	NL.14.1	Facility 3	2022	Summer	Post-Pasteurization 	Floor Object	three	sample-461	High	High	Fill	7.093421685
sample-429	14A	B.14A.1	Facility 2	2022	Summer	Post-Pasteurization 	FPE Structure	two	sample-429	Low	Low	Fill	0
sample-430	14B	B.14B.1	Facility 2	2022	Summer	Post-Pasteurization 	FPE Structure	two	sample-430	Low	Low	Fill	1.602059991
sample-13	15	B.15.2	Facility 2	2022	Fall	Filling	Conveyor	three	sample-13	High	High	Fill	6.505149978
sample-14	15	B.15.4	Facility 2	2023	Spring	Filling	Conveyor	two	sample-14	High	High	Fill	8.371067862
sample-15	15	B.15.3	Facility 2	2023	Winter	Filling	Conveyor	two	sample-15	Low	Low	Fill	3
sample-168	15	NL.15.4	Facility 3	2023	Spring	Post-Pasteurization 	Floor Object	three	sample-168	Medium	Medium	Fill	4.326335861
sample-169	15	NL.15.3	Facility 3	2023	Winter	Post-Pasteurization 	Floor Object	three	sample-169	Medium	Medium	Fill	4.06069784
sample-300	15	WS.15.2	Facility 1	2022	Fall	Warehouse	Non-FPE Structure	three	sample-300	Low	Low	Fill	2.851258349
sample-301	15	WS.15.4	Facility 1	2023	Spring	Warehouse	Non-FPE Structure	three	sample-301	Low	Low	Fill	1.903089987
sample-462	15	NL.15.1	Facility 3	2022	Summer	Post-Pasteurization 	Floor Object	three	sample-462	Medium	Medium	Fill	3.176091259
sample-431	15A	B.15A.1	Facility 2	2022	Summer	Filling	Conveyor	two	sample-431	High	High	Fill	6.301029996
sample-16	16	B.16.2	Facility 2	2022	Fall	Filling	Wall/Ceiling	three	sample-16	High	High	Fill	5.36361198
sample-17	16	B.16.4	Facility 2	2023	Spring	Filling	Wall/Ceiling	three	sample-17	High	High	Fill	6.602059991
sample-18	16	B.16.3	Facility 2	2023	Winter	Filling	Wall/Ceiling	three	sample-18	Medium	Medium	Fill	3.662757832
sample-302	16	WS.16.2	Facility 1	2022	Fall	Warehouse	Floor Object	three	sample-302	Low	Low	Fill	2.562292864
sample-303	16	WS.16.4	Facility 1	2023	Spring	Warehouse	Floor Object	three	sample-303	Medium	Medium	Fill	3.593286067
sample-489	16	WS.16.1	Facility 1	2022	Summer	Warehouse	Floor Object	three	sample-489	Medium	Medium	Fill	3.255272505
sample-19	17	B.17.2	Facility 2	2022	Fall	Filling	Conveyor	two	sample-19	Medium	Medium	Fill	4.883661435
sample-20	17	B.17.4	Facility 2	2023	Spring	Filling	Conveyor	two	sample-20	High	High	Fill	7.722633923
sample-21	17	B.17.3	Facility 2	2023	Winter	Filling	Conveyor	two	sample-21	High	High	Fill	5.954242509
sample-170	17	NL.17.2	Facility 3	2022	Fall	Post-Pasteurization 	Hose	two	sample-170	Medium	Medium	Fill	3.46834733
sample-171	17	NL.17.4	Facility 3	2023	Spring	Post-Pasteurization 	Hose	two	sample-171	Medium	Medium	Fill	3.880813592
sample-172	17	NL.17.3	Facility 3	2023	Winter	Post-Pasteurization 	Hose	two	sample-172	Medium	Medium	Fill	3.832508913
sample-304	17	WS.17.2	Facility 1	2022	Fall	Warehouse	Cleaning Tools	three	sample-304	Low	Low	Fill	2.799340549
sample-305	17	WS.17.4	Facility 1	2023	Spring	Warehouse	Cleaning Tools	three	sample-305	Medium	Medium	Fill	3.541579244
sample-306	17	WS.17.3	Facility 1	2023	Winter	Warehouse	Cleaning Tools	three	sample-306	Medium	Medium	Fill	3.702430536
sample-463	17	NL.17.1	Facility 3	2022	Summer	Post-Pasteurization 	Hose	three	sample-463	Low	Low	Fill	2.596597096
sample-22	18	B.18.2	Facility 2	2022	Fall	Filling	Wall/Ceiling	three	sample-22	Low	Low	Fill	1.977723605
sample-23	18	B.18.4	Facility 2	2023	Spring	Filling	Wall/Ceiling	three	sample-23	High	High	Fill	5.170261715
sample-24	18	B.18.3	Facility 2	2023	Winter	Filling	Wall/Ceiling	three	sample-24	Medium	Medium	Fill	3.499687083
sample-307	18	WS.18.2	Facility 1	2022	Fall	Warehouse	Wall/Ceiling	three	sample-307	Low	Low	Fill	1.176091259
sample-308	18	WS.18.4	Facility 1	2023	Spring	Warehouse	Wall/Ceiling	three	sample-308	Low	Low	Fill	0
sample-309	18	WS.18.3	Facility 1	2023	Winter	Warehouse	Wall/Ceiling	three	sample-309	Low	Low	Fill	0
sample-432	18A	B.18A.1	Facility 2	2022	Summer	Filling	Wall/Ceiling	three	sample-432	High	High	Fill	8.305351369
sample-25	19	B.19.2	Facility 2	2022	Fall	Filling	Cart/Rolling Bins	three	sample-25	Low	Low	Fill	0
sample-26	19	B.19.4	Facility 2	2023	Spring	Filling	Cart/Rolling Bins	three	sample-26	High	High	Fill	7.803457116
sample-27	19	B.19.3	Facility 2	2023	Winter	Filling	Cart/Rolling Bins	three	sample-27	Medium	Medium	Fill	4.625312451
sample-310	19	WS.19.2	Facility 1	2022	Fall	Post-Pasteurization 	Fan/Vent	two	sample-310	Low	Low	Fill	0
sample-433	1B	B.01B.1	Facility 2	2022	Summer	Raw	Drain	three	sample-433	Medium	Medium	Fill	3.544068044
sample-28	2	B.02.2	Facility 2	2022	Fall	Raw	Hose	two	sample-28	Low	Low	Fill	1.301029996
sample-29	2	B.02.4	Facility 2	2023	Spring	Raw	Hose	two	sample-29	Low	Low	Fill	2.204119983
sample-30	2	B.02.3	Facility 2	2023	Winter	Raw	Hose	two	sample-30	Low	Low	Fill	2.880813592
sample-174	2	NL.02.4	Facility 3	2023	Spring	Raw	Non-FPE Structure	two	sample-174	High	High	Fill	7.992995098
sample-175	2	NL.02.3	Facility 3	2023	Winter	Raw	Non-FPE Structure	three	sample-175	High	High	Fill	6.193124598
sample-464	2	NL.02.1	Facility 3	2022	Summer	Raw	Non-FPE Structure	two	sample-464	Medium	Medium	Fill	3.049218023
sample-31	20	B.20.2	Facility 2	2022	Fall	Filling	Non-FPE Structure	three	sample-31	Low	Low	Fill	2.113943352
sample-32	20	B.20.4	Facility 2	2023	Spring	Filling	Non-FPE Structure	three	sample-32	Medium	Medium	Fill	4.033423755
sample-33	20	B.20.3	Facility 2	2023	Winter	Filling	Non-FPE Structure	three	sample-33	Low	Low	Fill	2.602059991
sample-176	20	NL.20.3	Facility 3	2023	Winter	Post-Pasteurization 	Wall/Ceiling	three	sample-176	Low	Low	Fill	2.079181246
sample-311	20	WS.20.2	Facility 1	2022	Fall	Post-Pasteurization 	Drain	three	sample-311	Medium	Medium	Fill	3.812913357
sample-312	20	WS.20.4	Facility 1	2023	Spring	Post-Pasteurization 	Drain	three	sample-312	High	High	Fill	5.033423755
sample-313	20	WS.20.3	Facility 1	2023	Winter	Post-Pasteurization 	Drain	three	sample-313	High	High	Fill	5.950364854
sample-465	20	NL.20.1	Facility 3	2022	Summer	Post-Pasteurization 	Wall/Ceiling	three	sample-465	High	High	Fill	6.672097858
sample-434	20A	B.20A.1	Facility 2	2022	Summer	Filling	Non-FPE Structure	three	sample-434	Medium	Medium	Fill	4.354108439
sample-34	21	B.21.2	Facility 2	2022	Fall	Filling	Drain	three	sample-34	High	High	Fill	6.204119983
sample-35	21	B.21.3	Facility 2	2023	Winter	Filling	Drain	three	sample-35	High	High	Fill	5.033423755
sample-177	21	NL.21.2	Facility 3	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-177	Medium	Medium	Fill	3.311753861
sample-178	21	NL.21.4	Facility 3	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-178	Low	Low	Fill	2.924279286
sample-179	21	NL.21.3	Facility 3	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-179	Medium	Medium	Fill	3.994756945
sample-314	21	WS.21.2	Facility 1	2022	Fall	Post-Pasteurization 	Door	three	sample-314	Medium	Medium	Fill	3.255272505
sample-315	21	WS.21.4	Facility 1	2023	Spring	Post-Pasteurization 	Door	three	sample-315	Low	Low	Fill	2.857332496
sample-316	21	WS.21.3	Facility 1	2023	Winter	Post-Pasteurization 	Door	three	sample-316	Medium	Medium	Fill	3.264817823
sample-435	21A	B.21A.1	Facility 2	2022	Summer	Filling	Drain	three	sample-435	High	High	Fill	7.723455672
sample-36	22	B.22.2	Facility 2	2022	Fall	Filling	Non-FPE Structure	three	sample-36	Medium	Medium	Fill	4.982271233
sample-37	22	B.22.4	Facility 2	2023	Spring	Filling	Non-FPE Structure	three	sample-37	High	High	Fill	8.240549248
sample-38	22	B.22.3	Facility 2	2023	Winter	Filling	Non-FPE Structure	three	sample-38	High	High	Fill	7.365487985
sample-180	22	NL.22.4	Facility 3	2023	Spring	Filling	Drain	three	sample-180	High	High	Fill	5.772321707
sample-181	22	NL.22.3	Facility 3	2023	Winter	Filling	Drain	three	sample-181	Medium	Medium	Fill	4.133538908
sample-317	22	WS.22.2	Facility 1	2022	Fall	Post-Pasteurization 	Cart/Rolling Bins	three	sample-317	Low	Low	Fill	0
sample-39	23	B.23.4	Facility 2	2023	Spring	Filling	FPE Structure	two	sample-39	Medium	Medium	Fill	3.575187845
sample-182	23	NL.23.2	Facility 3	2022	Fall	Filling	Drain	three	sample-182	Medium	Medium	Fill	3.264817823
sample-183	23	NL.23.4	Facility 3	2023	Spring	Filling	Drain	three	sample-183	Low	Low	Fill	0
sample-184	23	NL.23.3	Facility 3	2023	Winter	Filling	Drain	three	sample-184	Medium	Medium	Fill	3.709269961
sample-318	23	WS.23.2	Facility 1	2022	Fall	Post-Pasteurization 	Hose	two	sample-318	Medium	Medium	Fill	3.929418926
sample-319	23	WS.23.3	Facility 1	2023	Winter	Post-Pasteurization 	Hose	two	sample-319	Medium	Medium	Fill	3.725911632
sample-466	23	NL.23.1	Facility 3	2022	Summer	Filling	Drain	three	sample-466	Medium	Medium	Fill	3.204119983
sample-436	23B	B.23B.1	Facility 2	2022	Summer	Filling	FPE Structure	two	sample-436	Medium	Medium	Fill	4.176091259
sample-185	24	NL.24.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-185	Medium	Medium	Fill	3.541579244
sample-186	24	NL.24.3	Facility 3	2023	Winter	Filling	Conveyor	two	sample-186	High	High	Fill	5.181843588
sample-320	24	WS.24.2	Facility 1	2022	Fall	Post-Pasteurization 	Floor Object	three	sample-320	Low	Low	Fill	2.439332694
sample-321	24	WS.24.4	Facility 1	2023	Spring	Post-Pasteurization 	Floor Object	three	sample-321	Medium	Medium	Fill	3.909556029
sample-322	24	WS.24.3	Facility 1	2023	Winter	Post-Pasteurization 	Floor Object	three	sample-322	Low	Low	Fill	2.681241237
sample-467	24	NL.24.1	Facility 3	2022	Summer	Filling	Conveyor	two	sample-467	Medium	Medium	Fill	3.354108439
sample-490	24	WS.24.1	Facility 1	2022	Summer	Post-Pasteurization 	Floor Object	three	sample-490	Low	Low	Fill	2.946943271
sample-437	24B	B.24B.1	Facility 2	2022	Summer	Filling	Non-FPE Structure	three	sample-437	Low	Low	Fill	0.698970004
sample-40	25	B.25.2	Facility 2	2022	Fall	Warehouse	Fan/Vent	three	sample-40	Low	Low	Fill	1.929418926
sample-41	25	B.25.4	Facility 2	2023	Spring	Warehouse	Fan/Vent	three	sample-41	High	High	Fill	5.204119983
sample-42	25	B.25.3	Facility 2	2023	Winter	Warehouse	Fan/Vent	three	sample-42	Medium	Medium	Fill	3.181843588
sample-187	25	NL.25.2	Facility 3	2022	Fall	Filling	Non-FPE Structure	three	sample-187	Low	Low	Fill	0
sample-323	25	WS.25.2	Facility 1	2022	Fall	Post-Pasteurization 	FPE Structure	two	sample-323	Low	Low	Fill	1.954242509
sample-324	25	WS.25.4	Facility 1	2023	Spring	Post-Pasteurization 	FPE Structure	two	sample-324	Medium	Medium	Fill	4.431363764
sample-325	25	WS.25.3	Facility 1	2023	Winter	Post-Pasteurization 	FPE Structure	two	sample-325	High	High	Fill	5.800717078
sample-468	25	NL.25.1	Facility 3	2022	Summer	Filling	Non-FPE Structure	three	sample-468	Low	Low	Fill	1.903089987
sample-491	25	WS.25.1	Facility 1	2022	Summer	Post-Pasteurization 	FPE Structure	two	sample-491	Medium	Medium	Fill	3.250420002
sample-438	25B	B.25B.1	Facility 2	2022	Summer	Warehouse	Fan/Vent	three	sample-438	Low	Low	Fill	2.857332496
sample-43	26	B.26.2	Facility 2	2022	Fall	Warehouse	Door	three	sample-43	Medium	Medium	Fill	4.290034611
sample-44	26	B.26.4	Facility 2	2023	Spring	Warehouse	Door	three	sample-44	Medium	Medium	Fill	3.133538908
sample-45	26	B.26.3	Facility 2	2023	Winter	Warehouse	Door	three	sample-45	Low	Low	Fill	2.204119983
sample-188	26	NL.26.2	Facility 3	2022	Fall	Filling	Drain	three	sample-188	Medium	Medium	Fill	4.06069784
sample-189	26	NL.26.4	Facility 3	2023	Spring	Filling	Drain	three	sample-189	Medium	Medium	Fill	4.820857989
sample-190	26	NL.26.3	Facility 3	2023	Winter	Filling	Drain	three	sample-190	Low	Low	Fill	1.602059991
sample-326	26	WS.26.2	Facility 1	2022	Fall	Post-Pasteurization 	Hose	two	sample-326	Low	Low	Fill	0.698970004
sample-327	26	WS.26.4	Facility 1	2023	Spring	Post-Pasteurization 	Hose	two	sample-327	Low	Low	Fill	1.903089987
sample-328	26	WS.26.3	Facility 1	2023	Winter	Post-Pasteurization 	Hose	two	sample-328	Medium	Medium	Fill	4.666517981
sample-469	26	NL.26.1	Facility 3	2022	Summer	Filling	Drain	three	sample-469	High	High	Fill	6.423245874
sample-492	26	WS.26.1	Facility 1	2022	Summer	Post-Pasteurization 	Hose	two	sample-492	Medium	Medium	Fill	3.903089987
sample-439	26A	B.26A.1	Facility 2	2022	Summer	Warehouse	Door	three	sample-439	Medium	Medium	Fill	3.037426498
sample-440	26B	B.26B.1	Facility 2	2022	Summer	Warehouse	Door	three	sample-440	Low	Low	Fill	2.77815125
sample-46	27	B.27.2	Facility 2	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-46	Medium	Medium	Fill	3.033423755
sample-47	27	B.27.4	Facility 2	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-47	Medium	Medium	Fill	3.301029996
sample-48	27	B.27.3	Facility 2	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-48	Low	Low	Fill	0
sample-191	27	NL.27.2	Facility 3	2022	Fall	Filling	Cleaning Tools	two	sample-191	Low	Low	Fill	1.176091259
sample-329	27	WS.27.2	Facility 1	2022	Fall	Post-Pasteurization 	Hose	two	sample-329	Medium	Medium	Fill	4.58546073
sample-330	27	WS.27.4	Facility 1	2023	Spring	Post-Pasteurization 	Hose	two	sample-330	Medium	Medium	Fill	3.822168079
sample-331	27	WS.27.3	Facility 1	2023	Winter	Post-Pasteurization 	Hose	two	sample-331	Medium	Medium	Fill	4.260071388
sample-493	27	WS.27.1	Facility 1	2022	Summer	Post-Pasteurization 	Hose	two	sample-493	Medium	Medium	Fill	4.591064607
sample-441	27A	B.27A.1	Facility 2	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-441	Medium	Medium	Fill	3.146128036
sample-49	28	B.28.2	Facility 2	2022	Fall	Warehouse	Floor Object	three	sample-49	Low	Low	Fill	2.860338007
sample-50	28	B.28.4	Facility 2	2023	Spring	Warehouse	Floor Object	three	sample-50	Medium	Medium	Fill	3.985875357
sample-51	28	B.28.3	Facility 2	2023	Winter	Warehouse	Floor Object	three	sample-51	Low	Low	Fill	2.832508913
sample-192	28	NL.28.2	Facility 3	2022	Fall	Filling	Conveyor	three	sample-192	Medium	Medium	Fill	4.06069784
sample-193	28	NL.28.3	Facility 3	2023	Winter	Filling	Conveyor	two	sample-193	Medium	Medium	Fill	3.783903579
sample-332	28	WS.28.2	Facility 1	2022	Fall	Post-Pasteurization 	FPE Structure	two	sample-332	High	High	Fill	6.728353782
sample-333	28	WS.28.4	Facility 1	2023	Spring	Post-Pasteurization 	FPE Structure	two	sample-333	Medium	Medium	Fill	4.564666064
sample-334	28	WS.28.3	Facility 1	2023	Winter	Post-Pasteurization 	FPE Structure	two	sample-334	High	High	Fill	5.88536122
sample-470	28	NL.28.1	Facility 3	2022	Summer	Filling	Conveyor	two	sample-470	High	High	Fill	5.414973348
sample-494	28	WS.28.1	Facility 1	2022	Summer	Post-Pasteurization 	FPE Structure	two	sample-494	Medium	Medium	Fill	4.389166084
sample-442	28A	B.28A.1	Facility 2	2022	Summer	Warehouse	Floor Object	three	sample-442	Medium	Medium	Fill	3.096910013
sample-52	29	B.29.4	Facility 2	2023	Spring	Warehouse	Cleaning Tools	three	sample-52	Medium	Medium	Fill	3.57054294
sample-53	29	B.29.3	Facility 2	2023	Winter	Warehouse	Cleaning Tools	three	sample-53	Low	Low	Fill	2.380211242
sample-194	29	NL.29.2	Facility 3	2022	Fall	Filling	Wall/Ceiling	three	sample-194	Low	Low	Fill	0
sample-335	29	WS.29.2	Facility 1	2022	Fall	Post-Pasteurization 	Floor Object	three	sample-335	Low	Low	Fill	0
sample-336	29	WS.29.4	Facility 1	2023	Spring	Post-Pasteurization 	Floor Object	three	sample-336	Medium	Medium	Fill	4.170261715
sample-337	29	WS.29.3	Facility 1	2023	Winter	Post-Pasteurization 	Floor Object	three	sample-337	Medium	Medium	Fill	3.428134794
sample-495	29	WS.29.1	Facility 1	2022	Summer	Post-Pasteurization 	Floor Object	three	sample-495	High	High	Fill	5.58546073
sample-443	29B	B.29B.1	Facility 2	2022	Summer	Warehouse	Cleaning Tools	three	sample-443	Medium	Medium	Fill	3.178976947
sample-54	3	B.03.2	Facility 2	2022	Fall	Raw	Hose	two	sample-54	Medium	Medium	Fill	3.064457989
sample-55	3	B.03.4	Facility 2	2023	Spring	Raw	Hose	two	sample-55	Low	Low	Fill	2.944482672
sample-56	3	B.03.3	Facility 2	2023	Winter	Raw	Hose	two	sample-56	Medium	Medium	Fill	3.64738297
sample-173	3	NL.02.2	Facility 3	2022	Fall	Raw	Non-FPE Structure	three	sample-173	Medium	Medium	Fill	4.97
sample-195	3	NL.03.2	Facility 3	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-195	Low	Low	Fill	2.204119983
sample-196	3	NL.03.4	Facility 3	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-196	High	High	Fill	5.477121255
sample-197	3	NL.03.3	Facility 3	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-197	High	High	Fill	5.769377326
sample-57	30	B.30.2	Facility 2	2022	Fall	Warehouse	Non-FPE Structure	three	sample-57	High	High	Fill	7.276461804
sample-58	30	B.30.4	Facility 2	2023	Spring	Warehouse	Non-FPE Structure	three	sample-58	High	High	Fill	8.42975228
sample-59	30	B.30.3	Facility 2	2023	Winter	Warehouse	Non-FPE Structure	three	sample-59	High	High	Fill	7.673941999
sample-198	30	NL.30.4	Facility 3	2023	Spring	Filling	Hose	two	sample-198	Medium	Medium	Fill	3.049218023
sample-199	30	NL.30.3	Facility 3	2023	Winter	Filling	Hose	two	sample-199	Low	Low	Fill	0
sample-338	30	WS.30.4	Facility 1	2023	Spring	Post-Pasteurization 	Cart/Rolling Bins	three	sample-338	Low	Low	Fill	2.556302501
sample-339	30	WS.30.3	Facility 1	2023	Winter	Post-Pasteurization 	Cart/Rolling Bins	three	sample-339	Medium	Medium	Fill	4.654176542
sample-496	30	WS.30.1	Facility 1	2022	Summer	Post-Pasteurization 	Cart/Rolling Bins	three	sample-496	Low	Low	Fill	2.822821645
sample-444	30A	B.30A.1	Facility 2	2022	Summer	Warehouse	Non-FPE Structure	three	sample-444	High	High	Fill	7.419955748
sample-60	31	B.31.2	Facility 2	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-60	Medium	Medium	Fill	3.740362689
sample-61	31	B.31.4	Facility 2	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-61	Medium	Medium	Fill	3.976808337
sample-62	31	B.31.3	Facility 2	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-62	Medium	Medium	Fill	3.264817823
sample-200	31	NL.31.2	Facility 3	2022	Fall	Filling	Door	three	sample-200	Low	Low	Fill	2.525044807
sample-201	31	NL.31.3	Facility 3	2023	Winter	Filling	Door	three	sample-201	Low	Low	Fill	2.301029996
sample-340	31	WS.31.2	Facility 1	2022	Fall	Post-Pasteurization 	FPE Structure	two	sample-340	High	High	Fill	5.201397124
sample-341	31	WS.31.4	Facility 1	2023	Spring	Post-Pasteurization 	FPE Structure	two	sample-341	Medium	Medium	Fill	4.079181246
